Equipment Description,Model,Problem,Initial Diagnosis,Work Done
5 Parameters Bedside,INFINITY VISTA XL,Issue,Monitor was powering off while operating.,"Upon inspection, the power connector was found to be slightly deformed, resulting in an unstable electrical connection. The connector was realigned and secured properly to ensure reliable contact. After corrective action and functional testing, the monitor was confirmed to be operating smoothly and is ready for clinical use."
,,Issue,“Cylinder Empty” error displayed.,"Upon inspection, the CO₂ cylinder was confirmed to be full; however, a gas leak was identified at the CO₂ pipe nozzle connector due to a damaged connector. The faulty nozzle connector was replaced with a new one, eliminating the leakage. After replacement and functional testing, the error was resolved, and the insufflator is now operating smoothly and ready for clinical use."
General,MBC601 UAM,Issue,Bipolar issue.,"Upon inspection, the electrosurgical unit was found to be non-operational.Upon inspection, it was found that the bipolar display was not shown and was frozen. All the connections were reset properly.Continuity and operational tests were performed, confirming proper activation response. After verification, the electrosurgical unit is operating smoothly and ready for clinical use."
General Adult/Pediatric,VG70,Issue.,Touch screen not working.,"The ventilator was inspected and found to have an unresponsive touch screen. Touch screen calibration was performed through the service menu. After calibration, touch response was tested and found to be functioning normally.The ventilator &nbsp;was left in normal operating condition and is now ready for clinical use."
Electric,,Issue.,Table reported to be immovable.&nbsp;,"Upon inspection, it was found that the table wheels were in the locked position, restricting movement. The wheel locking mechanism was manually released, restoring mobility. After verification, the OT table was confirmed to be moving smoothly and functioning normally."
,EN-S7 Smart,ISSUE,The syringe pump was not infusing the set volume accurately.&nbsp;,"Upon inspection, syringe calibration was performed for 5 ml, 10 ml, and 50 ml volumes. After completing calibration and testing, the pump was found to be delivering the set volumes accurately. The machine is now functioning properly and performing within acceptable limits."
,S7,ISSUE,"The syringe pump was unable to hold the stand properly, causing difficulty in placing the device and administering it to patients.","Upon inspection, the stand holder nut thread was found to be damaged. The damaged nut was replaced, and the stand was secured properly. After testing, the functionality was found to be normal, and the machine is now stable and fit for use."
,SYS-50,ISSUE,Syringe install error was observed in the syringe pump.&nbsp;,"Upon inspection, syringe calibration was performed and the linear potentiometer sensors were reset. After completing calibration and functional testing, the error was resolved, and the machine was found to be working properly."
Electric,Sim Move 800,Issue,Headrest lock was broken.,"Upon inspection, the headrest mechanism was found to be stuck due to a damaged locking assembly. The faulty lock was replaced with a new one, and the headrest was properly aligned and secured. After adjustment, the headrest locking function was restored across all positions. The OT table is now fully functional and ready for use."
,NA,Issue,Power Switch issue.,"upon inspection,it was found that the power switch was not working due to disconnect wire. After securely connecting the wire.The machine was operating smoothly."
Digital,,Issue,zeroing issue.,"Upon inspection, there was a zeroing issue which was fixed properly."
7 Parameters Bedside,C80,ISSUE,SPO2 was not showing.,Upon inspection it was found that SPO2 cable was damaged which needed replacement. After replacing the damageed spo2 cable with new one the monitor was then functioning properly.
7 Parameters Bedside,C80,ISSUE,&nbsp;IABP was not showing.,Upon inspection it was found that IABP sensor was damaged which needed replacement. After replacing the damageed IABP sensor and cable with new one the monitor was then functioning properly.
General Adult/Pediatric,VG70,ISSUE,O₂ calibration failure.,"During inspection, the O₂ sensor was found to be faulty. The O₂ sensor was replaced."
5 Parameters Bedside,H9,Issue,&nbsp;NIBP measurement issue.,"Upon inspection, it was found that the NIBP cuff was improperly positioned/connected, leading to inaccurate or failed NIBP readings. The cuff was repositioned and secured correctly. After correction and functional testing, the NIBP function was restored, and both patient monitors were confirmed to be operating smoothly and ready for clinical use."
5 Parameters Bedside,H9,Issue,NIBP measurement issue.,"Upon inspection, it was found that the NIBP cuff was improperly positioned/connected, leading to inaccurate or failed NIBP readings. The cuff was repositioned and secured correctly. After correction and functional testing, the NIBP function was restored, and both patient monitors were confirmed to be operating smoothly and ready for clinical use."
