Equipment Description,Manufacturer,Model,Problem ,Work Done 
Infant Radiant Warmer,Shreeyash,,"Power on issue and because of that, the switch was burnt.","We inspected the power issue, and calculated the current drawn by the load. After that, we also replaced the 3A fuse by a 2A fuse and observed the circuit operation. Following the observation, we concluded that the fuse has no signigance on the power issue, so we properly placed the input and output connections and soldered the wire. "
Patient Bed,Tmotion,,Problem with the movement of bed. Issue with the power board.,We first checked the connections and power supply. We also checked the continuity of the circuit. 
ECG Machine,ECGMAC,EM301,Print was faded.,"We cleaned the thermal head and after that we cross-verified whether there was a problem in the ECG paper with another paper. On, cross-examination it was found that the paper had expired. Hence, we replaced the paper."
CTG,Shenzhen Osen Tech,OSEN9000E,Issue with the sound transmission from the transducer.,User guidance provided to set the volume to audible range.
Patient Monitor,Philips,Efficia CM120,Problem with ECG waveform due to noises and interferences,"First we inspected whether the notch filter was turned on or not. On inspection, we found that notch filter was turned off. So, we turned on the notch filter which in turned produced ECG waveform without interfernces. User guidance was also provided."
X-Ray Machine,Allengers,MARS3.5,"Collimator was displaced , due to which it was difficult to focus at a particular region.","First we inspected what really was the problem with the collimator. On inspection we found that there was a problem with the window. So, we unscrewed the components and found that the wire had been displaced from its original position. Thus, we placed the wire in its correct position and reconnected the components."
C-Arm Machine,Allengers,HF49R,Problem with image quality.,We first insured that the earthing is good and then cleaned the CCD which in turn enhanced the image quality.
Sphygmomanometer ,,,Manometer dial was not in correct place.,We first inspected the manometer dial and placed it in the correct order.
Sphygmomanometer ,,,Manometer dial was not in correct place.,We first inspected the manometer dial and placed it in the correct order.
Syringe pump,Smiths Medical Grasby,C9,Issue with automatic on and off during infusion.,Machine was inspected and found attached battery was depleted below knee voltage. Battery was replaced from the other damaged syringe pump and made the machine functional.
Nebulizer,NISCOMED,,The plug was broken.,The problem with broken plug was addressed.
Ventilator,Hamilton,C1,Flow sensor broken,"We first tried to glue the broken part of the flow sensor and then performed calibration. On calibration, the flow sensor test failed. So, the flow sensor had to be replaced. "
Infant Radiant Warmer,Shreeyash,,"Power on issue and because of that, the switch was burnt.",We repaced the switch and properly connected the wires.
ECG Machine,Philips,Pagewriter TC20,Incorrect date and time shown on display.,We corrected the date and time.
USG Machine,GE,Versana Premier,Linear probe not working properly. Artifacts seen in color doppler due to which the image of the blood vessels was not clearly visible.,"First we cleaned the filters. We inspected whether the linear probe was working properly or not. On inspection, we found that there was a problem in piezoelectric crystals. We changed the connection of the probes and inspected the probe functioning in color doppler mode. However, the image was not clear in color doppler."
 View Box,,,Problem with 3 pin connector.,We replaced the 3 pin connector.
ECG Machine,Philips,Pagewriter TC20,The ECG electrodes had become loose.,We tightened the connections and machine is fully functional.
Ventilator,Hamilton,C1,Handover stating problem with O2 supply fail,Circuit was passed and started ventilation in CMV mode. Tidal volume value were verified with VT analyzer. Supply of oxygen was accurate.
Patient Monitor,Schiller,Truscope Ultra Q7,ECG Lead Graph 1 was showing inverted.,ECG settings was adjusted by comparing with other paient monitor. When setting of ECG lead was changed to lead 2 the graph is good.
ECG Machine,ECGMAC,EM 301,ECG setting was changed and unable to get te standard graph.,Setting was adjusted to defalut.And checked the ECG waveform.
ECG Machine,Philips,PageWriter TC20,ECG print was not clear.,We cleaned the thermal head and performed diagnostic tests.
Patient Monitor,Philips,Efficia CM120,Artifacts seen in ECG waceform.,"First we inspected the problem and found that the notch filter was not turned on. On turning on the notch filter, the waveform was clear. User guidance was also provided."
C-Arm Machine,Allengers,HF49R,Foot switch not working.,"First we checked the continuity and found that connection was not continuous. So, we reconnected the wires by soldering and the device was made functional."
Sphygmomanometer ,,,Manometer dial was displaced.,We placed the manometer dial at its correct position and made sure that the device was working properly.
Sphygmomanometer ,,,Inflation bulb was displaced.,We placed the inflation bulb at its correct position.
Ventilator,Hamilton,C1,Low tidal volume was shown.,"We first inspected the device and performed pre-op tests. Leak tests failed,due to which the device was showing low oxygen. We found that the air was leaking from the flow sensor and we glued the flow sensor. Preventive maintenance was also performed."
ECG Machine,ECGMAC,EM 301,ECG waveform was flat,ECG signal test was done.The wires were not properly placed due to which the waveform was flat. Provided user guidance.
Ventilator,Philips,V200,Upon daily round we found ventilator  filter had all the dust. And was in need of General maintanence,General maintanence was performed and performed the SST and EST test.
Centrifuge,KREW,,Unable to open the chamber cover,Machine was inspected and provided guidance on how to open the cover
Syringe pump,Smiths Medical,GrasebyC9,Automatic on and off while infusion,on inspection we found out ribbon cable was slightly misplaced from it's orginal position. we fixed that problem and we charged the machine and re-calibrated it and made functional
Syringe pump,Smiths Medical,Grabesy C9,System error as per nurse,On inspection we found syringe pump was on working condition. we performed infusion test and calibrated it and it was properly working.
Ventilator,Hamilton,C1,Flow sensor unable to calibrate,While inspection we found out that the compatible flow sensor had the manufacturing default in it. Orginal flow sensor was used to calibrate.
Ventilator,Philips,V200,showing Apnea Alaram while patient breathing is 20BPM and Apnea alaram setting is at 20s. ,"General settings were changed. General maintanence were performed.SST and EST test were performed. while doing EST Exhalation valve and Heated filter Valve test failed. Displaying code 3131 ,2131 "
Laryngoscope,,,Laryngoscope bulb was dim.,We inspected the problem and we checked the battery voltage and cleaned the sensor.
Patient bed ,,,Bed was not moving.,We inspected the problem and found out the wire connected to power supply was obstructed by the side frame. We aligned the wire and checked the connection and it was functional. User guidelines was provided to the nursing staff.
CTG,Shenzhen Osen Tech,OSEN9000E,Loose cable connection due to which sound was not coming.,The machine was first inspected and we found that the cable connection was loose. The connection was tightened and the device was made functional.
Defibrillator,Philips,Efficia DFM100,,Operational check was performed to ensure that the device was functioning properly.
Defibrillator,Mindray,BeneHeart D3,,Routine test was performed to ensure that the device was working properly
ECG Machine,Philips,PageWriter TC20,The lead wires were mixed up together which caused artifacts.,The wires were separated and the device was made functional. User guidance was provided to clean the suction electrode.
Patient Monitor,,,The wire had separated from the connection and the LED and photodetector had also come apart.,We inspected the device and checked whether the wire can be connected or not.
Spirometer,,,The software was not showing the start option. ,We inspected the device and found that the part of the spirometer has weared down. And on replacing the particular component the software showed the start option.
Defibrillator,Mindray,,Daily preop test was required.,Daily preop test was performed.
Defibrillator,Philips,Efficia DFM100,Pre op test was reuired,Pre op test was performed and kept the machine in stand by
Defibrillator,philips,SMART Biphasic,Machine was return back to Store.,While inspection found that the battery was completely drained out below its knee voltage. We kept the machine overnight in AC to revive  the drained out Battery. Yet  Battery couldn't charge upto its nominal voltage.
Ventilator,Hamilton,C1,"Exhalation Obstruction while ventilation.,low VT
Unable to Calibrate the flow sensor.","Flow sensor lekage was passed, and calibration was performed and made the Machine functional."
Syringe pump,Smiths Medical,Graseby TMC9,User training was required,Operational guidance was provided to the staff
Syringe pump,Smiths Medical,Graseby TM C9,Automatic on and off,"The device was first inspected and the voltage of battery was checked. So, we charged the device for few minutes and used to ensure that it was working properly. It was later confirmed that the problem was due to insufficient charging. The device was made functional and user guidance was provided."
Syringe pump,Smiths Medical,Graseby TM C9,Automatic on and off.,"The device was first inspected and the voltage of battery was checked. So, we charged the device for few minutes and used to ensure that it was working properly. It was later confirmed that the problem was due to insufficient charging. The device was made functional and user guidance was provided."
Syringe pump,Smiths Medical,Graseby TM C9,Automaic on and off.,"The device was first inspected and the voltage of battery was checked. So, we charged the device for few minutes and used to ensure that it was working properly. It was later confirmed that the problem was due to insufficient charging. The device was made functional and user guidance was provided."
Sphygmomanometer ,,,Manometer dial was displaced.,We placed the manometer dial at its correct position and made sure that the device was working properly.
Sphygmomanometer ,,,Manometer dial was displaced.,We placed the manometer dial at its correct position and made sure that the device was working properly.
Sphygmomanometer ,,,Manometer dial was displaced.,"We placed the manometer dial at its correct position. However, there was a leakage in the cuff itself."
